,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,0.8098,0.822,0.8328,0.8404,0.8455,0.8514,0.8561,0.8594,0.8624,0.8628,0.864,0.8669,0.8681,0.8683,0.8709,0.8698,0.8718,0.8735,0.8754,0.8754,0.8793,0.8785,0.8812,0.8826,0.8832,0.8863,0.8869,0.887,0.8891,0.8889,0.8874,0.8914,0.8911,0.8912,0.8929,0.8933,0.895,0.894,0.8984,0.8929,0.8979,0.8977,0.8977,0.898,0.8957,0.8988,0.8973,0.9001,0.9014,0.899,0.9002
1,0.811,0.8244,0.8347,0.8426,0.847,0.8512,0.8558,0.857,0.8603,0.8596,0.8634,0.8659,0.8692,0.8714,0.8742,0.8757,0.8753,0.8769,0.8762,0.8769,0.8796,0.8823,0.8813,0.8797,0.883,0.8846,0.8829,0.8844,0.8848,0.8835,0.8883,0.8877,0.8894,0.8893,0.8882,0.8941,0.8921,0.8954,0.8918,0.8962,0.896,0.8963,0.897,0.8962,0.8945,0.8935,0.8939,0.8973,0.8985,0.8969,0.9004
2,0.81,0.8218,0.8315,0.8382,0.8464,0.8541,0.8614,0.8629,0.8646,0.8683,0.8688,0.8706,0.8723,0.8748,0.8742,0.8761,0.8771,0.8778,0.8791,0.8808,0.8807,0.8814,0.882,0.884,0.8854,0.8857,0.8869,0.8866,0.8884,0.8912,0.8911,0.8919,0.891,0.8891,0.8915,0.8917,0.8933,0.8918,0.8946,0.8932,0.8943,0.8957,0.8943,0.895,0.8936,0.8962,0.8941,0.8963,0.8962,0.8971,0.8968
3,0.814,0.8246,0.8338,0.8421,0.8486,0.8541,0.8565,0.8596,0.8606,0.863,0.8655,0.8658,0.8691,0.8715,0.8734,0.8741,0.8771,0.8795,0.8797,0.882,0.882,0.8829,0.8832,0.8862,0.8877,0.8855,0.8892,0.8903,0.8922,0.8929,0.8917,0.89,0.8947,0.8933,0.8962,0.8963,0.8936,0.8958,0.8957,0.8962,0.8972,0.8958,0.9,0.8998,0.8992,0.8999,0.9003,0.899,0.9002,0.8985,0.9
4,0.8166,0.8271,0.8354,0.8403,0.8438,0.8487,0.851,0.8586,0.8586,0.8645,0.8649,0.8661,0.8692,0.8692,0.8708,0.8724,0.8732,0.8774,0.8769,0.8785,0.8801,0.883,0.8844,0.8855,0.8857,0.8857,0.8895,0.8903,0.8917,0.8892,0.8929,0.8935,0.8964,0.894,0.8939,0.8961,0.8951,0.8953,0.897,0.8947,0.8989,0.896,0.9015,0.9011,0.8995,0.9008,0.9009,0.9019,0.9007,0.9024,0.902
5,0.8178,0.8253,0.8345,0.8404,0.8475,0.852,0.8561,0.8591,0.8616,0.8629,0.8651,0.8696,0.8716,0.8728,0.8745,0.876,0.8773,0.877,0.8786,0.878,0.8814,0.8826,0.881,0.8855,0.8853,0.8864,0.888,0.8859,0.8896,0.8876,0.8881,0.8893,0.8899,0.8917,0.8921,0.8928,0.8928,0.894,0.8937,0.8947,0.8955,0.8973,0.8943,0.8964,0.8964,0.8985,0.8976,0.8989,0.8994,0.8975,0.902
6,0.8119,0.8271,0.8349,0.8414,0.8484,0.8524,0.8571,0.8615,0.8618,0.8637,0.8679,0.8682,0.873,0.8738,0.8757,0.8794,0.88,0.8798,0.8814,0.8815,0.8819,0.882,0.8841,0.8855,0.8839,0.8878,0.8875,0.8879,0.8904,0.8907,0.8898,0.8928,0.8903,0.8927,0.8911,0.8939,0.8945,0.892,0.8949,0.895,0.8951,0.8951,0.8972,0.8969,0.8979,0.8938,0.8974,0.8972,0.8975,0.8929,0.8957
7,0.8095,0.8211,0.8295,0.839,0.8462,0.8508,0.8526,0.8563,0.8613,0.863,0.8641,0.8679,0.8692,0.8706,0.8714,0.873,0.8754,0.8747,0.8777,0.8787,0.8806,0.8824,0.8834,0.883,0.8831,0.887,0.8872,0.8879,0.8889,0.8894,0.8895,0.889,0.8917,0.8924,0.8919,0.894,0.8952,0.8967,0.8945,0.8964,0.8955,0.8972,0.8973,0.8978,0.8982,0.8992,0.8973,0.8997,0.8992,0.8983,0.8993
8,0.8074,0.8207,0.8307,0.8382,0.8435,0.847,0.8522,0.8565,0.8586,0.8618,0.8622,0.8666,0.8704,0.8719,0.8725,0.8742,0.8745,0.879,0.8794,0.8814,0.8823,0.8825,0.8842,0.8832,0.8837,0.8874,0.8852,0.8877,0.8885,0.8884,0.8897,0.8912,0.8908,0.8923,0.8916,0.8927,0.8938,0.8962,0.8962,0.8961,0.8973,0.895,0.8968,0.8978,0.8978,0.9007,0.8978,0.9013,0.9012,0.8991,0.9008
9,0.8106,0.8269,0.838,0.8447,0.8491,0.8525,0.859,0.8598,0.8628,0.8652,0.868,0.8705,0.8718,0.8749,0.8745,0.8781,0.88,0.8786,0.8827,0.8824,0.8829,0.8858,0.8851,0.8861,0.8874,0.8886,0.8892,0.8895,0.892,0.8925,0.8934,0.8933,0.8949,0.8935,0.8942,0.8964,0.8973,0.8957,0.8981,0.8969,0.8999,0.8976,0.9006,0.8984,0.8995,0.9008,0.9004,0.9004,0.9019,0.8994,0.9029
