,Label
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,6
46,6
47,6
48,6
49,6
50,6
51,6
52,6
53,6
54,7
55,7
56,7
57,7
58,7
59,7
60,7
61,7
62,7
63,8
64,8
65,8
66,8
67,8
68,8
69,8
70,8
71,8
72,9
73,9
74,9
75,9
76,9
77,9
78,9
79,9
80,9
81,10
82,10
83,10
84,10
85,10
86,10
87,10
88,10
89,10
90,11
91,11
92,11
93,11
94,11
95,11
96,11
97,11
98,11
99,12
100,12
101,12
102,12
103,12
104,12
105,12
106,12
107,12
108,13
109,13
110,13
111,13
112,13
113,13
114,13
115,13
116,13
117,14
118,14
119,14
120,14
121,14
122,14
123,14
124,14
125,14
126,15
127,15
128,15
129,15
130,15
131,15
132,15
133,15
134,15
135,16
136,16
137,16
138,16
139,16
140,16
141,16
142,16
143,16
144,17
145,17
146,17
147,17
148,17
149,17
150,17
151,17
152,17
153,18
154,18
155,18
156,18
157,18
158,18
159,18
160,18
161,18
162,19
163,19
164,19
165,19
166,19
167,19
168,19
169,19
170,19
171,20
172,20
173,20
174,20
175,20
176,20
177,20
178,20
179,20
180,21
181,21
182,21
183,21
184,21
185,21
186,21
187,21
188,21
189,22
190,22
191,22
192,22
193,22
194,22
195,22
196,22
197,22
198,23
199,23
200,23
201,23
202,23
203,23
204,23
205,23
206,23
207,24
208,24
209,24
210,24
211,24
212,24
213,24
214,24
215,24
216,25
217,25
218,25
219,25
220,25
221,25
222,25
223,25
224,25
225,26
226,26
227,26
228,26
229,26
230,26
231,26
232,26
233,26
