,Label
0,1
1,1
2,2
3,2
4,3
5,3
6,4
7,4
8,5
9,5
10,6
11,6
12,7
13,7
14,8
15,8
16,9
17,9
18,10
19,10
20,11
21,11
22,12
23,12
24,13
25,13
26,14
27,14
28,15
29,15
30,16
31,16
32,17
33,17
34,18
35,18
36,19
37,19
38,20
39,20
40,21
41,21
42,22
43,22
44,23
45,23
46,24
47,24
48,25
49,25
50,26
51,26
52,1
53,1
54,2
55,2
56,3
57,3
58,4
59,4
60,5
61,5
62,6
63,6
64,7
65,7
66,8
67,8
68,9
69,9
70,10
71,10
72,11
73,11
74,12
75,12
76,13
77,13
78,14
79,14
80,15
81,15
82,16
83,16
84,17
85,17
86,18
87,18
88,19
89,19
90,20
91,20
92,21
93,21
94,22
95,22
96,23
97,23
98,24
99,24
100,25
101,25
102,26
103,26
104,1
105,1
106,2
107,2
108,3
109,3
110,4
111,4
112,5
113,5
114,6
115,6
116,7
117,7
118,8
119,8
120,9
121,9
122,10
123,10
124,11
125,11
126,12
127,12
128,13
129,13
130,14
131,14
132,15
133,15
134,16
135,16
136,17
137,17
138,18
139,18
140,19
141,19
142,20
143,20
144,21
145,21
146,22
147,22
148,23
149,23
150,24
151,24
152,25
153,25
154,26
155,26
156,1
157,1
158,2
159,2
160,3
161,3
162,4
163,4
164,5
165,5
166,6
167,6
168,7
169,7
170,8
171,8
172,9
173,9
174,10
175,10
176,11
177,11
178,12
179,12
180,13
181,13
182,14
183,14
184,15
185,15
186,16
187,16
188,17
189,17
190,18
191,18
192,19
193,19
194,20
195,20
196,21
197,21
198,22
199,22
200,23
201,23
202,24
203,24
204,25
205,25
206,26
207,26
208,1
209,1
210,2
211,2
212,3
213,3
214,4
215,4
216,5
217,5
218,6
219,6
220,7
221,7
222,8
223,8
224,9
225,9
226,10
227,10
228,11
229,11
230,12
231,12
232,13
233,13
234,14
235,14
236,15
237,15
238,16
239,16
240,17
241,17
242,18
243,18
244,19
245,19
246,20
247,20
248,21
249,21
250,22
251,22
252,23
253,23
254,24
255,24
256,25
257,25
258,26
259,26
260,1
261,1
262,2
263,2
264,3
265,3
266,4
267,4
268,5
269,5
270,6
271,6
272,7
273,7
274,8
275,8
276,9
277,9
278,10
279,10
280,11
281,11
282,12
283,12
284,13
285,13
286,14
287,14
288,15
289,15
290,16
291,16
292,17
293,17
294,18
295,18
296,19
297,19
298,20
299,20
300,21
301,21
302,22
303,22
304,23
305,23
306,24
307,24
308,25
309,25
310,26
311,26
312,1
313,1
314,2
315,2
316,3
317,3
318,4
319,4
320,5
321,5
322,6
323,6
324,7
325,7
326,8
327,8
328,9
329,9
330,10
331,10
332,11
333,11
334,12
335,12
336,13
337,13
338,14
339,14
340,15
341,15
342,16
343,16
344,17
345,17
346,18
347,18
348,19
349,19
350,20
351,20
352,21
353,21
354,22
355,22
356,23
357,23
358,24
359,24
360,25
361,25
362,26
363,26
364,1
365,1
366,2
367,2
368,3
369,3
370,4
371,4
372,5
373,5
374,6
375,6
376,7
377,7
378,8
379,8
380,9
381,9
382,10
383,10
384,11
385,11
386,12
387,12
388,13
389,13
390,14
391,14
392,15
393,15
394,16
395,16
396,17
397,17
398,18
399,18
400,19
401,19
402,20
403,20
404,21
405,21
406,22
407,22
408,23
409,23
410,24
411,24
412,25
413,25
414,26
415,26
416,1
417,1
418,2
419,2
420,3
421,3
422,4
423,4
424,5
425,5
426,6
427,6
428,7
429,7
430,8
431,8
432,9
433,9
434,10
435,10
436,11
437,11
438,12
439,12
440,13
441,13
442,14
443,14
444,15
445,15
446,16
447,16
448,17
449,17
450,18
451,18
452,19
453,19
454,20
455,20
456,21
457,21
458,22
459,22
460,23
461,23
462,24
463,24
464,25
465,25
466,26
467,26
468,1
469,1
470,2
471,2
472,3
473,3
474,4
475,4
476,5
477,5
478,6
479,6
480,7
481,7
482,8
483,8
484,9
485,9
486,10
487,10
488,11
489,11
490,12
491,12
492,13
493,13
494,14
495,14
496,15
497,15
498,16
499,16
500,17
501,17
502,18
503,18
504,19
505,19
506,20
507,20
508,21
509,21
510,22
511,22
512,23
513,23
514,24
515,24
516,25
517,25
518,26
519,26
520,1
521,1
522,2
523,2
524,3
525,3
526,4
527,4
528,5
529,5
530,6
531,6
532,7
533,7
534,8
535,8
536,9
537,9
538,10
539,10
540,11
541,11
542,12
543,12
544,13
545,13
546,14
547,14
548,15
549,15
550,16
551,16
552,17
553,17
554,18
555,18
556,19
557,19
558,20
559,20
560,21
561,21
562,22
563,22
564,23
565,23
566,24
567,24
568,25
569,25
570,26
571,26
572,1
573,1
574,2
575,2
576,3
577,3
578,4
579,4
580,5
581,5
582,6
583,6
584,7
585,7
586,8
587,8
588,9
589,9
590,10
591,10
592,11
593,11
594,12
595,12
596,13
597,13
598,14
599,14
600,15
601,15
602,16
603,16
604,17
605,17
606,18
607,18
608,19
609,19
610,20
611,20
612,21
613,21
614,22
615,22
616,23
617,23
618,24
619,24
620,25
621,25
622,26
623,26
624,1
625,1
626,2
627,2
628,3
629,3
630,4
631,4
632,5
633,5
634,6
635,6
636,7
637,7
638,8
639,8
640,9
641,9
642,10
643,10
644,11
645,11
646,12
647,12
648,13
649,13
650,14
651,14
652,15
653,15
654,16
655,16
656,17
657,17
658,18
659,18
660,19
661,19
662,20
663,20
664,21
665,21
666,22
667,22
668,23
669,23
670,24
671,24
672,25
673,25
674,26
675,26
676,1
677,1
678,2
679,2
680,3
681,3
682,4
683,4
684,5
685,5
686,6
687,6
688,7
689,7
690,8
691,8
692,9
693,9
694,10
695,10
696,11
697,11
698,12
699,12
700,13
701,13
702,14
703,14
704,15
705,15
706,16
707,16
708,17
709,17
710,18
711,18
712,19
713,19
714,20
715,20
716,21
717,21
718,22
719,22
720,23
721,23
722,24
723,24
724,25
725,25
726,26
727,26
728,1
729,1
730,2
731,2
732,3
733,3
734,4
735,4
736,5
737,5
738,6
739,6
740,7
741,7
742,8
743,8
744,9
745,9
746,10
747,10
748,11
749,11
750,12
751,12
752,13
753,13
754,14
755,14
756,15
757,15
758,16
759,16
760,17
761,17
762,18
763,18
764,19
765,19
766,20
767,20
768,21
769,21
770,22
771,22
772,23
773,23
774,24
775,24
776,25
777,25
778,26
779,26
780,1
781,1
782,2
783,2
784,3
785,3
786,4
787,4
788,5
789,5
790,6
791,6
792,7
793,7
794,8
795,8
796,9
797,9
798,10
799,10
800,11
801,11
802,12
803,12
804,13
805,13
806,14
807,14
808,15
809,15
810,16
811,16
812,17
